ticker,session,right,spot_935,expiry,expiry_kind,strike,option_symbol,opt_932,opt_935,opt_945,opt_1230,opt_1530,opt_1230_bar,opt_1530_bar,pct_935_to_1230,pct_945_to_1230,pct_935_to_1530,notes
SMMT,2026-09-23,call,17.22,2026-09-25,this_week,17.0,SMMT260925C00017000,,0.57,0.57,0.3,0.3,5m 12:10 (t-20m),5m 15:25-15:30,-47.4,-47.4,-47.4,
GWRE,2026-09-23,call,151.865,2026-10-16,this_month,150.0,GWRE261016C00150000,,,,10.05,,5m 12:30-12:35,no bar,,,,
TEAM,2026-09-23,call,190.575,2026-10-16,this_month,190.0,TEAM261016C00190000,,15.1,15.1,,14.2,no bar,15m 15:15-15:30,,,-6.0,fell back after this_week:2026-09-25(no 12:30/3:30)
VLO,2026-09-23,call,385.19,2026-09-25,this_week,385.0,VLO260925C00385000,9.6,7.6,8.02,6.34,4.0,15m 12:15-12:30,5m 15:10 (t-20m),-16.6,-20.9,-47.4,
VEEV,2026-09-23,call,265.605,2026-10-16,this_month,270.0,VEEV261016C00270000,,10.9,10.9,10.72,10.95,5m 12:25-12:30,5m 15:25-15:30,-1.7,-1.7,0.5,
SNOW,2026-09-23,call,337.885,2026-09-25,this_week,337.5,SNOW260925C00337500,7.35,7.35,9.75,5.56,4.6,15m 12:15-12:30,15m 15:15-15:30,-24.4,-43.0,-37.4,
DDOG,2026-09-23,call,248.0101,2026-09-25,this_week,247.5,DDOG260925C00247500,7.25,7.25,7.25,8.02,,15m 12:15-12:30,no bar,10.6,10.6,,
MRNA,2026-09-23,call,184.6,2026-09-25,this_week,185.0,MRNA260925C00185000,4.55,5.7,6.14,4.75,3.65,15m 12:15-12:30,5m 15:25-15:30,-16.7,-22.6,-36.0,
DINO,2026-09-23,call,110.025,2026-10-16,this_month,110.0,DINO261016C00110000,,6.0,6.0,5.15,,15m 12:15-12:30,no bar,-14.2,-14.2,,
LYB,2026-09-23,call,59.92,2026-11-20,next_month,60.0,LYB261120C00060000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=4.3; tried this_month:2026-10-16(no 12:30/3:30)
SU,2026-09-23,call,67.62,2026-09-25,this_week,68.0,SU260925C00068000,0.9,0.9,0.9,0.8,,15m 12:30-12:45,no bar,-11.1,-11.1,,
DOW,2026-09-23,call,28.515,2026-11-20,next_month,27.5,DOW261120C00027500,,,,,,no bar,no bar,,,,"no 12:30/3:30 bars yet; chain lastPrice=2.75; tried this_week:2026-09-25(no 12:30/3:30), this_month:2026-10-16(no 12:30/3:30)"
AR,2026-09-23,call,35.025,2026-09-25,this_week,35.0,AR260925C00035000,0.5,0.5,0.5,1.32,,5m 12:25-12:30,no bar,164.0,164.0,,
PBR,2026-09-23,call,21.18,2026-09-25,this_week,21.0,PBR260925C00021000,0.45,0.45,0.45,,0.33,no bar,15m 15:15-15:30,,,-26.7,
KDP,2026-09-23,call,32.0,2026-10-16,this_month,32.0,KDP261016C00032000,0.6,0.76,0.65,0.62,0.6,15m 12:30-12:45,15m 15:15-15:30,-18.4,-4.6,-21.1,
META,2026-09-23,call,745.46,2026-09-25,this_week,745.0,META260925C00745000,14.7,16.0,17.6,23.22,16.94,5m 12:25-12:30,5m 15:25-15:30,45.1,31.9,5.9,
GRAB,2026-09-23,call,3.17,2026-09-25,this_week,3.0,GRAB260925C00003000,0.2,0.2,0.17,0.18,0.16,15m 12:15-12:30,15m 15:15-15:30,-10.0,5.9,-20.0,
TOTAL,2026-09-23,call,5610.2673,,30 names,5612.5,,67.19,117.67,133.09,132.19,103.02,,,14.1,1.7,0.0,Sums skip blanks. Paired 9:32→9:45 n=15; 9:35→12:30 n=17; 9:45→12:30 n=17; 9:35→3:30 n=18.
