Date,9:30 Open,9:30 Close,9:45 Close,10:30 Close,Market Close,Gap %,Gap Bucket,Direction,VWAP Pos,Rev Prob,Cell Count,Trade,Entry,Exit_945,Price Chg_945,Price Chg %_945,Result_945,Exit_1030,Price Chg_1030,Price Chg %_1030,Result_1030,Exit_Close,Price Chg_Close,Price Chg %_Close,Result_Close
2024-01-26,$487.59,$487.89,$487.70,$488.71,$487.47,0.13%,Small,Bull,Above VWAP,0.48,99,SKIP,$487.89,$487.70,$-0.19,-0.04%,N/A,$488.71,$+0.82,+0.17%,N/A,$487.47,$-0.42,-0.09%,N/A
2024-01-29,$487.73,$487.87,$488.03,$487.57,$491.26,0.20%,Medium,Bull,Above VWAP,0.46,71,SKIP,$487.87,$488.03,$+0.16,+0.03%,N/A,$487.57,$-0.30,-0.06%,N/A,$491.26,$+3.39,+0.69%,N/A
2024-01-30,$490.56,$491.05,$491.26,$490.59,$490.86,-0.15%,Small,Bull,Above VWAP,0.48,99,SKIP,$491.05,$491.26,$+0.22,+0.04%,N/A,$490.59,$-0.46,-0.09%,N/A,$490.86,$-0.19,-0.04%,N/A
2024-01-31,$488.62,$488.02,$487.76,$486.66,$482.92,-0.12%,Small,Bear,Below VWAP,0.53,79,SKIP,$488.02,$487.76,$-0.26,-0.05%,N/A,$486.66,$-1.36,-0.28%,N/A,$482.92,$-5.10,-1.05%,N/A
2024-02-01,$484.63,$485.55,$485.08,$485.70,$489.23,0.13%,Small,Bull,Above VWAP,0.48,99,SKIP,$485.55,$485.08,$-0.47,-0.10%,N/A,$485.70,$+0.15,+0.03%,N/A,$489.23,$+3.68,+0.76%,N/A
2024-02-02,$489.65,$490.23,$490.49,$492.18,$494.27,-0.43%,Medium,Bull,Below VWAP,0.00,4,SKIP,$490.23,$490.49,$+0.26,+0.05%,N/A,$492.18,$+1.95,+0.40%,N/A,$494.27,$+4.04,+0.82%,N/A
2024-02-05,$493.69,$493.23,$493.44,$490.51,$492.58,0.02%,Small,Bear,Below VWAP,0.53,79,SKIP,$493.23,$493.44,$+0.21,+0.04%,N/A,$490.51,$-2.72,-0.55%,N/A,$492.58,$-0.65,-0.13%,N/A
2024-02-06,$493.52,$494.14,$493.01,$492.79,$493.97,0.19%,Small,Bull,Above VWAP,0.48,99,SKIP,$494.14,$493.01,$-1.13,-0.23%,N/A,$492.79,$-1.35,-0.27%,N/A,$493.97,$-0.17,-0.03%,N/A
2024-02-07,$496.29,$495.56,$495.89,$497.51,$498.05,0.50%,Large,Bear,Below VWAP,0.47,55,SKIP,$495.56,$495.89,$+0.33,+0.07%,N/A,$497.51,$+1.95,+0.39%,N/A,$498.05,$+2.49,+0.50%,N/A
2024-02-08,$498.10,$497.86,$498.00,$497.70,$498.40,0.07%,Small,Bear,Below VWAP,0.53,79,SKIP,$497.86,$498.00,$+0.14,+0.03%,N/A,$497.70,$-0.16,-0.03%,N/A,$498.40,$+0.54,+0.11%,N/A
2024-02-09,$498.84,$499.20,$499.50,$499.81,$501.18,0.16%,Small,Bull,Below VWAP,0.17,6,SKIP,$499.20,$499.50,$+0.30,+0.06%,N/A,$499.81,$+0.61,+0.12%,N/A,$501.18,$+1.97,+0.39%,N/A
2024-02-12,$501.17,$501.34,$501.43,$501.67,$500.94,0.03%,Small,Bull,Above VWAP,0.48,99,SKIP,$501.34,$501.43,$+0.09,+0.02%,N/A,$501.67,$+0.33,+0.07%,N/A,$500.94,$-0.40,-0.08%,N/A
2024-02-13,$494.53,$494.27,$493.82,$495.13,$494.14,-1.13%,Large,Bear,Below VWAP,0.47,55,SKIP,$494.27,$493.82,$-0.45,-0.09%,N/A,$495.13,$+0.86,+0.17%,N/A,$494.14,$-0.13,-0.03%,N/A
2024-02-14,$496.79,$496.67,$496.88,$496.91,$498.62,0.51%,Large,Bear,Above VWAP,0.56,16,SKIP,$496.67,$496.88,$+0.21,+0.04%,N/A,$496.91,$+0.24,+0.05%,N/A,$498.62,$+1.95,+0.39%,N/A
2024-02-15,$499.29,$499.62,$499.65,$499.59,$501.95,0.13%,Small,Bull,Below VWAP,0.17,6,SKIP,$499.62,$499.65,$+0.03,+0.01%,N/A,$499.59,$-0.03,-0.01%,N/A,$501.95,$+2.33,+0.47%,N/A
2024-02-16,$501.70,$500.84,$499.66,$500.74,$499.49,0.02%,Small,Bear,Below VWAP,0.53,79,SKIP,$500.84,$499.66,$-1.18,-0.24%,N/A,$500.74,$-0.10,-0.02%,N/A,$499.49,$-1.35,-0.27%,N/A
2024-02-20,$497.72,$496.71,$496.68,$496.25,$496.74,-0.13%,Small,Bear,Below VWAP,0.53,79,SKIP,$496.71,$496.68,$-0.03,-0.01%,N/A,$496.25,$-0.46,-0.09%,N/A,$496.74,$+0.03,+0.01%,N/A
2024-02-21,$495.42,$495.19,$495.26,$495.17,$497.17,-0.13%,Small,Bear,Below VWAP,0.53,79,SKIP,$495.19,$495.26,$+0.07,+0.01%,N/A,$495.17,$-0.02,-0.00%,N/A,$497.17,$+1.98,+0.40%,N/A
2024-02-22,$504.01,$503.67,$504.99,$504.94,$507.53,0.62%,Large,Bear,Above VWAP,0.56,16,SKIP,$503.67,$504.99,$+1.32,+0.26%,N/A,$504.94,$+1.27,+0.25%,N/A,$507.53,$+3.86,+0.77%,N/A
2024-02-23,$509.27,$510.08,$509.74,$508.85,$507.82,0.38%,Medium,Bull,Above VWAP,0.46,71,SKIP,$510.08,$509.74,$-0.34,-0.07%,N/A,$508.85,$-1.23,-0.24%,N/A,$507.82,$-2.26,-0.44%,N/A
2024-02-26,$508.30,$508.16,$508.21,$507.88,$505.99,0.25%,Medium,Bear,Below VWAP,0.59,85,CALL,$508.16,$508.21,$+0.05,+0.01%,WIN,$507.88,$-0.29,-0.06%,LOSS,$505.99,$-2.17,-0.43%,LOSS
2024-02-27,$506.70,$505.77,$506.12,$505.72,$506.87,0.19%,Small,Bear,Below VWAP,0.53,79,SKIP,$505.77,$506.12,$+0.35,+0.07%,N/A,$505.72,$-0.05,-0.01%,N/A,$506.87,$+1.10,+0.22%,N/A
2024-02-28,$505.33,$505.65,$505.33,$506.12,$506.19,-0.27%,Medium,Bull,Above VWAP,0.46,71,SKIP,$505.65,$505.33,$-0.32,-0.06%,N/A,$506.12,$+0.48,+0.09%,N/A,$506.19,$+0.54,+0.11%,N/A
2024-02-29,$508.07,$508.44,$508.49,$507.21,$508.00,0.45%,Medium,Bull,Above VWAP,0.46,71,SKIP,$508.44,$508.49,$+0.05,+0.01%,N/A,$507.21,$-1.23,-0.24%,N/A,$508.00,$-0.44,-0.09%,N/A
2024-03-01,$508.98,$509.07,$509.08,$510.22,$512.84,0.08%,Small,Bull,Above VWAP,0.48,99,SKIP,$509.07,$509.08,$+0.01,+0.00%,N/A,$510.22,$+1.15,+0.23%,N/A,$512.84,$+3.77,+0.74%,N/A
2024-03-04,$512.03,$512.39,$512.50,$512.84,$512.25,0.00%,Small,Bull,Above VWAP,0.48,99,SKIP,$512.39,$512.50,$+0.12,+0.02%,N/A,$512.84,$+0.45,+0.09%,N/A,$512.25,$-0.14,-0.03%,N/A
2024-03-05,$510.24,$509.91,$509.66,$507.89,$507.15,-0.26%,Medium,Bear,Below VWAP,0.59,85,CALL,$509.91,$509.66,$-0.25,-0.05%,LOSS,$507.89,$-2.02,-0.40%,LOSS,$507.15,$-2.76,-0.54%,LOSS
2024-03-06,$510.55,$510.15,$509.91,$509.65,$509.80,0.71%,Large,Bear,Above VWAP,0.56,16,SKIP,$510.15,$509.91,$-0.24,-0.05%,N/A,$509.65,$-0.50,-0.10%,N/A,$509.80,$-0.35,-0.07%,N/A
2024-03-07,$513.14,$512.78,$513.41,$514.67,$514.87,0.82%,Large,Bear,Below VWAP,0.47,55,SKIP,$512.78,$513.41,$+0.63,+0.12%,N/A,$514.67,$+1.89,+0.37%,N/A,$514.87,$+2.09,+0.41%,N/A
2024-03-08,$515.46,$516.55,$517.76,$517.67,$511.76,0.11%,Small,Bull,Above VWAP,0.48,99,SKIP,$516.55,$517.76,$+1.21,+0.23%,N/A,$517.67,$+1.12,+0.22%,N/A,$511.76,$-4.79,-0.93%,N/A
2024-03-11,$510.48,$510.56,$509.43,$509.45,$511.26,-0.23%,Medium,Bull,Above VWAP,0.46,71,SKIP,$510.56,$509.43,$-1.13,-0.22%,N/A,$509.45,$-1.11,-0.22%,N/A,$511.26,$+0.70,+0.14%,N/A
2024-03-12,$513.45,$511.39,$513.44,$515.77,$516.81,0.15%,Small,Bear,Below VWAP,0.53,79,SKIP,$511.39,$513.44,$+2.05,+0.40%,N/A,$515.77,$+4.38,+0.86%,N/A,$516.81,$+5.42,+1.06%,N/A
2024-03-13,$517.11,$516.18,$516.08,$516.73,$515.99,0.02%,Small,Bear,Below VWAP,0.53,79,SKIP,$516.18,$516.08,$-0.10,-0.02%,N/A,$516.73,$+0.55,+0.11%,N/A,$515.99,$-0.19,-0.04%,N/A
2024-03-14,$516.97,$516.74,$513.98,$514.65,$514.95,0.08%,Small,Bear,Below VWAP,0.53,79,SKIP,$516.74,$513.98,$-2.76,-0.53%,N/A,$514.65,$-2.09,-0.40%,N/A,$514.95,$-1.79,-0.35%,N/A
2024-03-15,$510.21,$509.81,$509.84,$510.98,$509.74,-0.79%,Large,Bear,Below VWAP,0.47,55,SKIP,$509.81,$509.84,$+0.03,+0.01%,N/A,$510.98,$+1.17,+0.23%,N/A,$509.74,$-0.07,-0.01%,N/A
2024-03-18,$514.00,$514.38,$513.84,$514.95,$512.87,0.83%,Large,Bull,Above VWAP,0.42,48,SKIP,$514.38,$513.84,$-0.54,-0.11%,N/A,$514.95,$+0.57,+0.11%,N/A,$512.87,$-1.51,-0.29%,N/A
2024-03-19,$512.15,$511.37,$511.69,$512.31,$515.76,-0.06%,Small,Bear,Below VWAP,0.53,79,SKIP,$511.37,$511.69,$+0.32,+0.06%,N/A,$512.31,$+0.94,+0.18%,N/A,$515.76,$+4.39,+0.86%,N/A
2024-03-20,$515.77,$515.32,$515.43,$515.69,$520.42,0.06%,Small,Bear,Below VWAP,0.53,79,SKIP,$515.32,$515.43,$+0.11,+0.02%,N/A,$515.69,$+0.37,+0.07%,N/A,$520.42,$+5.10,+0.99%,N/A
2024-03-21,$523.39,$523.52,$523.43,$523.85,$522.11,0.29%,Medium,Bull,Above VWAP,0.46,71,SKIP,$523.52,$523.43,$-0.09,-0.02%,N/A,$523.85,$+0.33,+0.06%,N/A,$522.11,$-1.41,-0.27%,N/A
2024-03-22,$522.11,$521.75,$521.77,$521.20,$521.27,-0.14%,Small,Bear,Below VWAP,0.53,79,SKIP,$521.75,$521.77,$+0.02,+0.00%,N/A,$521.20,$-0.55,-0.11%,N/A,$521.27,$-0.48,-0.09%,N/A
2024-03-25,$519.80,$519.74,$520.30,$520.42,$519.81,-0.18%,Small,Bear,Below VWAP,0.53,79,SKIP,$519.74,$520.30,$+0.56,+0.11%,N/A,$520.42,$+0.68,+0.13%,N/A,$519.81,$+0.07,+0.01%,N/A
2024-03-26,$521.23,$521.15,$521.25,$521.10,$518.66,0.15%,Small,Bear,Below VWAP,0.53,79,SKIP,$521.15,$521.25,$+0.10,+0.02%,N/A,$521.10,$-0.05,-0.01%,N/A,$518.66,$-2.50,-0.48%,N/A
2024-03-27,$521.71,$521.44,$520.89,$519.93,$523.17,0.38%,Medium,Bear,Above VWAP,0.50,14,SKIP,$521.44,$520.89,$-0.55,-0.11%,N/A,$519.93,$-1.51,-0.29%,N/A,$523.17,$+1.73,+0.33%,N/A
2024-03-28,$523.21,$523.25,$523.24,$523.42,$523.12,0.15%,Small,Bull,Above VWAP,0.48,99,SKIP,$523.25,$523.24,$-0.01,-0.00%,N/A,$523.42,$+0.17,+0.03%,N/A,$523.12,$-0.13,-0.02%,N/A
2024-04-01,$523.83,$524.21,$524.10,$522.57,$522.22,0.17%,Small,Bull,Above VWAP,0.48,99,SKIP,$524.21,$524.10,$-0.11,-0.02%,N/A,$522.57,$-1.64,-0.31%,N/A,$522.22,$-1.99,-0.38%,N/A
2024-04-02,$518.24,$517.47,$517.60,$517.41,$518.85,-0.66%,Large,Bear,Below VWAP,0.47,55,SKIP,$517.47,$517.60,$+0.13,+0.03%,N/A,$517.41,$-0.06,-0.01%,N/A,$518.85,$+1.38,+0.27%,N/A
2024-04-03,$517.72,$518.32,$518.39,$520.48,$519.36,-0.19%,Small,Bull,Above VWAP,0.48,99,SKIP,$518.32,$518.39,$+0.07,+0.01%,N/A,$520.48,$+2.17,+0.42%,N/A,$519.36,$+1.04,+0.20%,N/A
2024-04-04,$523.52,$523.14,$522.84,$522.92,$513.03,0.54%,Large,Bear,Above VWAP,0.56,16,SKIP,$523.14,$522.84,$-0.30,-0.06%,N/A,$522.92,$-0.22,-0.04%,N/A,$513.03,$-10.11,-1.93%,N/A
2024-04-05,$514.46,$515.38,$515.92,$516.21,$518.40,0.21%,Medium,Bull,Above VWAP,0.46,71,SKIP,$515.38,$515.92,$+0.54,+0.11%,N/A,$516.21,$+0.83,+0.16%,N/A,$518.40,$+3.02,+0.59%,N/A
2024-04-08,$519.15,$518.68,$518.83,$519.73,$518.67,0.12%,Small,Bear,Below VWAP,0.53,79,SKIP,$518.68,$518.83,$+0.15,+0.03%,N/A,$519.73,$+1.05,+0.20%,N/A,$518.67,$-0.01,-0.00%,N/A
2024-04-09,$520.50,$519.84,$518.88,$514.84,$519.29,0.33%,Medium,Bear,Below VWAP,0.59,85,CALL,$519.84,$518.88,$-0.96,-0.18%,LOSS,$514.84,$-5.00,-0.96%,LOSS,$519.29,$-0.55,-0.10%,LOSS
2024-04-10,$513.48,$514.05,$513.99,$515.26,$514.16,-1.17%,Large,Bull,Above VWAP,0.42,48,SKIP,$514.05,$513.99,$-0.07,-0.01%,N/A,$515.26,$+1.21,+0.24%,N/A,$514.16,$+0.11,+0.02%,N/A
2024-04-11,$515.68,$514.37,$514.61,$513.44,$518.05,0.48%,Medium,Bear,Below VWAP,0.59,85,CALL,$514.37,$514.61,$+0.25,+0.05%,WIN,$513.44,$-0.92,-0.18%,LOSS,$518.05,$+3.68,+0.72%,WIN
2024-04-12,$514.37,$515.17,$515.34,$512.84,$510.82,-0.75%,Large,Bull,Above VWAP,0.42,48,SKIP,$515.17,$515.34,$+0.17,+0.03%,N/A,$512.84,$-2.33,-0.45%,N/A,$510.82,$-4.35,-0.84%,N/A
2024-04-15,$515.13,$515.04,$514.89,$512.09,$504.50,1.01%,Large,Bear,Above VWAP,0.56,16,SKIP,$515.04,$514.89,$-0.15,-0.03%,N/A,$512.09,$-2.95,-0.57%,N/A,$504.50,$-10.54,-2.05%,N/A
2024-04-16,$504.94,$503.89,$504.44,$503.25,$503.49,0.09%,Small,Bear,Below VWAP,0.53,79,SKIP,$503.89,$504.44,$+0.55,+0.11%,N/A,$503.25,$-0.64,-0.13%,N/A,$503.49,$-0.40,-0.08%,N/A
2024-04-17,$506.05,$505.95,$505.29,$503.82,$500.50,0.23%,Medium,Bear,Above VWAP,0.50,14,SKIP,$505.95,$505.29,$-0.66,-0.13%,N/A,$503.82,$-2.13,-0.42%,N/A,$500.50,$-5.45,-1.08%,N/A
2024-04-18,$501.98,$500.35,$501.18,$503.00,$499.48,0.18%,Small,Bear,Below VWAP,0.53,79,SKIP,$500.35,$501.18,$+0.83,+0.17%,N/A,$503.00,$+2.65,+0.53%,N/A,$499.48,$-0.87,-0.17%,N/A
2024-04-19,$499.44,$500.01,$499.64,$498.66,$495.10,0.15%,Small,Bull,Above VWAP,0.48,99,SKIP,$500.01,$499.64,$-0.37,-0.07%,N/A,$498.66,$-1.35,-0.27%,N/A,$495.10,$-4.91,-0.98%,N/A
2024-04-22,$497.83,$497.29,$497.59,$496.90,$499.63,0.63%,Large,Bear,Below VWAP,0.47,55,SKIP,$497.29,$497.59,$+0.30,+0.06%,N/A,$496.90,$-0.39,-0.08%,N/A,$499.63,$+2.34,+0.47%,N/A
2024-04-23,$501.78,$501.94,$503.07,$504.65,$505.64,0.49%,Medium,Bull,Above VWAP,0.46,71,SKIP,$501.94,$503.07,$+1.13,+0.23%,N/A,$504.65,$+2.71,+0.54%,N/A,$505.64,$+3.70,+0.74%,N/A
2024-04-24,$506.56,$506.96,$506.25,$505.43,$505.47,0.03%,Small,Bull,Above VWAP,0.48,99,SKIP,$506.96,$506.25,$-0.71,-0.14%,N/A,$505.43,$-1.53,-0.30%,N/A,$505.47,$-1.49,-0.29%,N/A
2024-04-25,$499.18,$499.15,$498.20,$498.97,$503.44,-0.65%,Large,Bear,Below VWAP,0.47,55,SKIP,$499.15,$498.20,$-0.95,-0.19%,N/A,$498.97,$-0.18,-0.04%,N/A,$503.44,$+4.29,+0.86%,N/A
2024-04-26,$506.35,$506.90,$507.84,$508.31,$508.24,-0.15%,Small,Bull,Below VWAP,0.17,6,SKIP,$506.90,$507.84,$+0.94,+0.19%,N/A,$508.31,$+1.41,+0.28%,N/A,$508.24,$+1.34,+0.26%,N/A
2024-04-29,$510.09,$509.29,$509.58,$510.02,$510.05,0.28%,Medium,Bear,Below VWAP,0.59,85,CALL,$509.29,$509.58,$+0.29,+0.06%,WIN,$510.02,$+0.73,+0.14%,WIN,$510.05,$+0.76,+0.15%,WIN
2024-04-30,$508.56,$509.42,$509.13,$508.98,$502.04,-0.25%,Medium,Bull,Above VWAP,0.46,71,SKIP,$509.42,$509.13,$-0.29,-0.06%,N/A,$508.98,$-0.44,-0.09%,N/A,$502.04,$-7.38,-1.45%,N/A
2024-05-01,$501.38,$501.00,$500.81,$501.04,$500.25,0.02%,Small,Bear,Below VWAP,0.53,79,SKIP,$501.00,$500.81,$-0.19,-0.04%,N/A,$501.04,$+0.05,+0.01%,N/A,$500.25,$-0.75,-0.15%,N/A
2024-05-02,$504.15,$502.47,$501.99,$501.04,$505.02,0.37%,Medium,Bear,Below VWAP,0.59,85,CALL,$502.47,$501.99,$-0.48,-0.10%,LOSS,$501.04,$-1.43,-0.28%,LOSS,$505.02,$+2.55,+0.51%,WIN
2024-05-03,$511.16,$511.05,$511.57,$510.27,$511.29,0.92%,Large,Bear,Above VWAP,0.56,16,SKIP,$511.05,$511.57,$+0.52,+0.10%,N/A,$510.27,$-0.78,-0.15%,N/A,$511.29,$+0.24,+0.05%,N/A
2024-05-06,$513.75,$514.19,$514.21,$514.41,$516.60,0.28%,Medium,Bull,Above VWAP,0.46,71,SKIP,$514.19,$514.21,$+0.01,+0.00%,N/A,$514.41,$+0.22,+0.04%,N/A,$516.60,$+2.41,+0.47%,N/A
2024-05-07,$517.56,$517.53,$517.18,$517.30,$517.20,0.21%,Medium,Bear,Above VWAP,0.50,14,SKIP,$517.53,$517.18,$-0.35,-0.07%,N/A,$517.30,$-0.23,-0.04%,N/A,$517.20,$-0.33,-0.06%,N/A
2024-05-08,$515.26,$515.86,$516.51,$517.13,$517.19,-0.40%,Medium,Bull,Above VWAP,0.46,71,SKIP,$515.86,$516.51,$+0.65,+0.13%,N/A,$517.13,$+1.27,+0.25%,N/A,$517.19,$+1.33,+0.26%,N/A
2024-05-09,$517.38,$517.00,$517.58,$518.92,$520.13,0.08%,Small,Bear,Below VWAP,0.53,79,SKIP,$517.00,$517.58,$+0.59,+0.11%,N/A,$518.92,$+1.93,+0.37%,N/A,$520.13,$+3.13,+0.61%,N/A
2024-05-10,$521.81,$522.26,$522.42,$521.13,$520.84,0.24%,Medium,Bull,Above VWAP,0.46,71,SKIP,$522.26,$522.42,$+0.16,+0.03%,N/A,$521.13,$-1.13,-0.22%,N/A,$520.84,$-1.42,-0.27%,N/A
2024-05-13,$522.56,$521.42,$521.70,$521.31,$520.91,0.51%,Large,Bear,Below VWAP,0.47,55,SKIP,$521.42,$521.70,$+0.28,+0.05%,N/A,$521.31,$-0.11,-0.02%,N/A,$520.91,$-0.51,-0.10%,N/A
2024-05-14,$521.11,$521.53,$521.30,$521.13,$523.29,0.06%,Small,Bull,Above VWAP,0.48,99,SKIP,$521.53,$521.30,$-0.23,-0.04%,N/A,$521.13,$-0.40,-0.08%,N/A,$523.29,$+1.76,+0.34%,N/A
2024-05-15,$525.83,$526.18,$525.67,$527.18,$529.76,0.43%,Medium,Bull,Above VWAP,0.46,71,SKIP,$526.18,$525.67,$-0.51,-0.10%,N/A,$527.18,$+1.00,+0.19%,N/A,$529.76,$+3.58,+0.68%,N/A
2024-05-16,$529.88,$530.03,$530.22,$530.91,$528.66,-0.06%,Small,Bull,Below VWAP,0.17,6,SKIP,$530.03,$530.22,$+0.19,+0.04%,N/A,$530.91,$+0.88,+0.17%,N/A,$528.66,$-1.37,-0.26%,N/A
2024-05-17,$528.81,$528.55,$528.75,$529.21,$529.43,0.02%,Small,Bear,Below VWAP,0.53,79,SKIP,$528.55,$528.75,$+0.20,+0.04%,N/A,$529.21,$+0.66,+0.13%,N/A,$529.43,$+0.88,+0.17%,N/A
2024-05-20,$529.57,$530.16,$531.17,$531.26,$530.02,-0.01%,Small,Bull,Above VWAP,0.48,99,SKIP,$530.16,$531.17,$+1.01,+0.19%,N/A,$531.26,$+1.11,+0.21%,N/A,$530.02,$-0.14,-0.03%,N/A
2024-05-21,$529.28,$529.68,$529.52,$530.39,$531.32,-0.12%,Small,Bull,Above VWAP,0.48,99,SKIP,$529.68,$529.52,$-0.16,-0.03%,N/A,$530.39,$+0.71,+0.13%,N/A,$531.32,$+1.64,+0.31%,N/A
2024-05-22,$530.65,$531.05,$531.15,$530.87,$529.82,-0.14%,Small,Bull,Above VWAP,0.48,99,SKIP,$531.05,$531.15,$+0.10,+0.02%,N/A,$530.87,$-0.18,-0.03%,N/A,$529.82,$-1.23,-0.23%,N/A
2024-05-23,$532.96,$531.77,$529.96,$530.36,$525.95,0.37%,Medium,Bear,Below VWAP,0.59,85,CALL,$531.77,$529.96,$-1.81,-0.34%,LOSS,$530.36,$-1.41,-0.27%,LOSS,$525.95,$-5.82,-1.09%,LOSS
2024-05-24,$527.85,$527.92,$527.20,$527.95,$529.50,0.33%,Medium,Bull,Above VWAP,0.46,71,SKIP,$527.92,$527.20,$-0.72,-0.14%,N/A,$527.95,$+0.03,+0.01%,N/A,$529.50,$+1.58,+0.30%,N/A
2024-05-28,$530.27,$529.92,$529.36,$529.76,$529.87,0.17%,Small,Bear,Below VWAP,0.53,79,SKIP,$529.92,$529.36,$-0.56,-0.11%,N/A,$529.76,$-0.15,-0.03%,N/A,$529.87,$-0.05,-0.01%,N/A
2024-05-29,$525.68,$525.51,$526.21,$526.93,$526.11,-0.68%,Large,Bear,Below VWAP,0.47,55,SKIP,$525.51,$526.21,$+0.69,+0.13%,N/A,$526.93,$+1.41,+0.27%,N/A,$526.11,$+0.60,+0.11%,N/A
2024-05-30,$524.52,$524.38,$524.59,$523.40,$522.63,0.08%,Small,Bear,Above VWAP,0.54,13,SKIP,$524.38,$524.59,$+0.21,+0.04%,N/A,$523.40,$-0.98,-0.19%,N/A,$522.63,$-1.75,-0.33%,N/A
2024-05-31,$523.59,$524.62,$523.15,$520.47,$527.35,0.34%,Medium,Bull,Above VWAP,0.46,71,SKIP,$524.62,$523.15,$-1.47,-0.28%,N/A,$520.47,$-4.15,-0.79%,N/A,$527.35,$+2.73,+0.52%,N/A
