instrument,action,quantity,open_date,close_date,cost_per_share,total_cost,price_per_share,proceeds,gain,timestamp,timestamp_match_status
SPY Feb 12 '26 $693 Call,Options Expiration,2,2026-02-12,2026-02-12,.10,19.03,.00,0,-19.03,,no_match
SPY Feb 12 '26 $693 Call,Options Expiration,1,2026-02-12,2026-02-12,1.06,105.51,.00,0,-105.51,,no_match
SPY Feb 12 '26 $684 Put,Sell To Close,1,2026-02-12,2026-02-12,1.27,126.51,1.54,154.49,27.98,,no_match
SPY Feb 12 '26 $685 Put,Sell To Close,1,2026-02-12,2026-02-12,1.52,151.51,1.67,167.49,15.98,,no_match
SPY Feb 12 '26 $694 Put,Sell To Close,1,2026-02-12,2026-02-12,1.50,149.51,1.88,188.49,38.98,,no_match
SPY Feb 12 '26 $695 Put,Sell To Close,1,2026-02-12,2026-02-12,1.83,182.51,2.10,210.49,27.98,,no_match
SPY Feb 13 '26 $684 Call w,Sell To Close,1,2026-02-13,2026-02-13,.54,53.51,.48,48.49,-5.02,,no_match
SPY Feb 13 '26 $685 Call w,Sell To Close,1,2026-02-13,2026-02-13,1.26,125.51,1.48,148.49,22.98,,no_match
SPY Feb 13 '26 $685 Call w,Sell To Close,2,2026-02-13,2026-02-13,.95,189.03,1.13,226.96,37.93,,no_match
SPY Feb 13 '26 $681 Put w,Sell To Close,1,2026-02-13,2026-02-13,1.42,141.51,1.47,147.49,5.98,,no_match
SPY Feb 13 '26 $681 Put w,Sell To Close,2,2026-02-13,2026-02-13,.97,193.03,1.07,214.96,21.93,,no_match
SPY Feb 13 '26 $684 Put w,Sell To Close,1,2026-02-13,2026-02-13,1.84,183.51,1.92,192.49,8.98,,no_match
SPY Feb 17 '26 $680 Call,Sell To Close,1,2026-02-17,2026-02-17,3.20,319.51,3.23,323.49,3.98,,no_match
SPY Feb 17 '26 $682 Call,Sell To Close,1,2026-02-17,2026-02-17,.57,56.51,.46,46.49,-10.02,,no_match
SPY Feb 17 '26 $682 Call,Sell To Close,1,2026-02-17,2026-02-17,1.49,148.51,1.54,154.49,5.98,,no_match
SPY Feb 17 '26 $682 Call,Sell To Close,1,2026-02-17,2026-02-17,1.52,151.51,1.70,170.49,18.98,,no_match
SPY Feb 17 '26 $684 Call,Sell To Close,2,2026-02-17,2026-02-17,.91,181.03,1.00,200.96,19.93,,no_match
SPY Feb 17 '26 $684 Call,Sell To Close,2,2026-02-17,2026-02-17,.86,171.03,.91,182.96,11.93,,no_match
SPY Feb 17 '26 $674 Put,Sell To Close,1,2026-02-17,2026-02-17,1.28,127.51,.11,11.49,-116.02,,no_match
SPY Feb 17 '26 $676 Put,Sell To Close,1,2026-02-17,2026-02-17,1.54,153.51,1.75,175.49,21.98,,no_match
SPY Feb 17 '26 $681 Put,Sell To Close,1,2026-02-17,2026-02-17,1.70,169.51,1.10,110.49,-59.02,,no_match
SPY Feb 17 '26 $682 Put,Sell To Close,1,2026-02-17,2026-02-17,1.64,163.51,1.64,164.49,.98,,no_match
SPY Feb 18 '26 $686 Call,Sell To Close,1,2026-02-18,2026-02-18,1.03,102.51,1.09,109.49,6.98,,no_match
SPY Feb 18 '26 $686 Call,Sell To Close,2,2026-02-18,2026-02-18,.86,171.03,.33,66.96,-104.07,,no_match
SPY Feb 18 '26 $688 Call,Sell To Close,2,2026-02-18,2026-02-18,1.39,277.03,1.25,250.96,-26.07,,no_match
SPY Feb 18 '26 $689 Call,Sell To Close,1,2026-02-18,2026-02-18,.77,76.51,.66,66.49,-10.02,,no_match
SPY Feb 18 '26 $686 Put,Sell To Close,1,2026-02-18,2026-02-18,.82,81.51,.60,60.49,-21.02,,no_match
SPY Feb 18 '26 $688 Put,Sell To Close,1,2026-02-18,2026-02-18,1.86,185.51,1.88,188.49,2.98,,no_match
SPY Feb 19 '26 $684 Call,Sell To Close,1,2026-02-19,2026-02-19,1.76,175.51,1.91,191.49,15.98,,no_match
SPY Feb 19 '26 $685 Call,Sell To Close,1,2026-02-19,2026-02-19,1.22,121.51,.90,90.48,-31.03,,no_match
SPY Feb 19 '26 $685 Call,Sell To Close,1,2026-02-19,2026-02-19,1.20,119.51,.90,90.48,-29.03,,no_match
SPY Feb 19 '26 $686 Put,Sell To Close,1,2026-02-19,2026-02-19,1.52,151.51,1.78,178.49,26.98,,no_match
SPY Feb 20 '26 $684 Call,Sell To Close,1,2026-02-20,2026-02-20,2.22,221.51,2.41,241.48271,19.97,,no_match
SPY Feb 20 '26 $684 Call,Sell To Close,1,2026-02-20,2026-02-20,2.22,221.51,2.41,241.48271,19.97,,no_match
SPY Feb 20 '26 $685 Call,Sell To Close,2,2026-02-20,2026-02-20,1.64,327.03,1.94,388.96542,61.94,,no_match
SPY Feb 20 '26 $686 Call,Sell To Close,1,2026-02-20,2026-02-20,1.94,193.51,1.96,196.48271,2.97,,no_match
SPY Feb 20 '26 $686 Call,Sell To Close,1,2026-02-20,2026-02-20,1.81,180.51,1.18,118.48271,-62.03,,no_match
SPY Feb 20 '26 $686 Call,Sell To Close,1,2026-02-20,2026-02-20,1.81,180.51,1.76,176.48271,-4.03,,no_match
SPY Feb 20 '26 $687 Call,Sell To Close,1,2026-02-20,2026-02-20,1.85,184.51,1.95,195.48271,10.97,,no_match
SPY Feb 20 '26 $687 Call,Sell To Close,2,2026-02-20,2026-02-20,1.17,233.03,1.27,254.96542,21.94,,no_match
SPY Feb 20 '26 $688 Put,Sell To Close,1,2026-02-20,2026-02-20,.91,90.51,1.06,106.48271,15.97,,no_match
SPY Feb 20 '26 $688 Put,Sell To Close,1,2026-02-20,2026-02-20,.91,90.51,1.53,153.48271,62.97,,no_match
SPY Feb 23 '26 $682 Call,Sell To Close,1,2026-02-23,2026-02-23,1.23,122.51,1.30,130.49,7.98,,no_match
SPY Feb 23 '26 $682 Call,Sell To Close,1,2026-02-23,2026-02-23,1.22,121.51,1.30,130.49,8.98,,no_match
SPY Feb 23 '26 $683 Call,Sell To Close,1,2026-02-23,2026-02-23,1.07,106.51,.75,75.49,-31.02,,no_match
SPY Feb 24 '26 $683 Call,Sell To Close,1,2026-02-24,2026-02-24,1.73,172.51,3.40,340.49,167.98,,no_match
SPY Feb 24 '26 $685 Put,Sell To Close,1,2026-02-24,2026-02-24,.71,70.51,.98,98.49,27.98,,no_match
SPY Feb 24 '26 $686 Put,Sell To Close,1,2026-02-24,2026-02-24,1.22,121.51,1.04,104.49,-17.02,,no_match
SPY Feb 24 '26 $686 Put,Sell To Close,1,2026-02-24,2026-02-24,.79,78.51,.47,47.49,-31.02,,no_match
SPY Feb 26 '26 $687 Call,Sell To Close,1,2026-02-26,2026-02-26,1.73,172.51,1.92,192.49,19.98,,no_match
SPY Feb 26 '26 $687 Call,Sell To Close,2,2026-02-26,2026-02-26,2.08,415.03,2.39,478.96,63.93,,no_match
SPY Feb 26 '26 $691 Call,Sell To Close,1,2026-02-26,2026-02-26,1.00,99.51,.35,35.49,-64.02,,no_match
SPY Feb 26 '26 $684 Put,Sell To Close,1,2026-02-26,2026-02-26,1.69,168.51,1.71,171.49,2.98,,no_match
SPY Feb 26 '26 $684 Put,Sell To Close,2,2026-02-26,2026-02-26,1.56,311.03,.49,98.96,-212.07,,no_match
SPY Feb 27 '26 $683 Call w,Sell To Close,1,2026-02-27,2026-02-27,3.11,310.51,3.34,334.48271,23.97,,no_match
SPY Feb 27 '26 $684 Call w,Sell To Close,1,2026-02-27,2026-02-27,1.59,158.51,1.75,175.48271,16.97,,no_match
SPY Feb 27 '26 $685 Call w,Sell To Close,1,2026-02-27,2026-02-27,1.40,139.51,1.47,147.48271,7.97,,no_match
