Date,9:30 Open,9:30 Close,9:45 Close,Gap %,Gap Bucket,Direction,VWAP Pos,Rev Prob,Trade,Entry,Market Close,Price Chg,Price Chg %,Result
2025-12-03,$680.57,$680.88,$680.87,-0.94%,Large,Bull,Above VWAP,0.12,CALL,$680.88,$683.81,$+2.93,+0.43%,WIN
2025-12-02,$681.92,$682.41,$682.33,-0.74%,Large,Bull,Above VWAP,0.12,CALL,$682.41,$681.48,$-0.93,-0.14%,LOSS
2025-12-01,$678.81,$679.25,$681.45,-1.19%,Large,Bull,Below VWAP,0.00,CALL,$679.25,$680.27,$+1.02,+0.15%,WIN
2025-11-28,$680.86,$681.27,$681.23,-0.90%,Large,Bull,Above VWAP,0.12,CALL,$681.27,$682.02,$+0.75,+0.11%,WIN
2025-11-26,$677.63,$678.79,$677.31,-1.37%,Large,Bull,Above VWAP,0.12,CALL,$678.79,$679.63,$+0.84,+0.12%,WIN
2025-11-25,$668.63,$667.38,$668.87,-2.68%,Large,Bear,Below VWAP,0.50,SKIP,$667.38,$675.00,$+7.62,+1.14%,N/A
2025-11-24,$662.69,$662.89,$664.04,-3.54%,Large,Bull,Below VWAP,0.00,CALL,$662.89,$668.81,$+5.92,+0.89%,WIN
2025-11-21,$655.05,$654.34,$654.52,-4.65%,Large,Bear,Below VWAP,0.50,SKIP,$654.34,$659.06,$+4.72,+0.72%,N/A
2025-11-20,$672.91,$673.64,$674.91,-2.05%,Large,Bull,Above VWAP,0.12,CALL,$673.64,$652.53,$-21.10,-3.13%,LOSS
2025-11-19,$660.78,$663.02,$665.67,-3.82%,Large,Bull,Above VWAP,0.12,CALL,$663.02,$662.65,$-0.36,-0.06%,LOSS
2025-11-18,$662.09,$661.85,$658.65,-3.63%,Large,Bear,Below VWAP,0.50,SKIP,$661.85,$660.14,$-1.71,-0.26%,N/A
2025-11-17,$669.00,$671.98,$672.76,-2.62%,Large,Bull,Above VWAP,0.12,CALL,$671.98,$665.69,$-6.29,-0.94%,LOSS
2025-11-14,$665.38,$666.72,$668.69,-3.15%,Large,Bull,Above VWAP,0.12,CALL,$666.72,$671.95,$+5.23,+0.78%,WIN
2025-11-13,$680.50,$677.77,$678.80,-0.95%,Large,Bear,Below VWAP,0.50,SKIP,$677.77,$672.05,$-5.72,-0.84%,N/A
2025-11-12,$684.79,$684.16,$683.73,-0.32%,Medium,Bear,Below VWAP,0.67,CALL,$684.16,$683.28,$-0.88,-0.13%,LOSS
2025-11-11,$679.95,$680.05,$680.70,-1.03%,Large,Bull,Below VWAP,0.00,CALL,$680.05,$682.87,$+2.82,+0.42%,WIN
2025-11-10,$677.23,$678.77,$678.54,-1.42%,Large,Bull,Above VWAP,0.12,CALL,$678.77,$681.32,$+2.55,+0.38%,WIN
2025-11-07,$667.91,$665.43,$666.25,-2.78%,Large,Bear,Below VWAP,0.50,SKIP,$665.43,$670.92,$+5.49,+0.82%,N/A
2025-11-06,$676.47,$675.98,$674.14,-1.53%,Large,Bear,Below VWAP,0.50,SKIP,$675.98,$670.24,$-5.74,-0.85%,N/A
2025-11-05,$674.98,$674.46,$677.28,-1.75%,Large,Bear,Below VWAP,0.50,SKIP,$674.46,$677.50,$+3.04,+0.45%,N/A
2025-11-04,$676.11,$676.99,$678.70,-1.59%,Large,Bull,Above VWAP,0.12,CALL,$676.99,$675.34,$-1.65,-0.24%,LOSS
2025-11-03,$685.67,$683.17,$682.53,-0.20%,Small,Bear,Below VWAP,0.58,CALL,$683.17,$683.35,$+0.18,+0.03%,WIN
2025-10-31,$685.04,$683.29,$683.47,-0.29%,Medium,Bear,Below VWAP,0.67,CALL,$683.29,$681.97,$-1.32,-0.19%,LOSS
2025-10-30,$683.90,$682.43,$685.01,-0.45%,Medium,Bear,Below VWAP,0.67,CALL,$682.43,$679.97,$-2.46,-0.36%,LOSS
2025-10-29,$688.72,$689.23,$689.57,0.25%,Medium,Bull,Above VWAP,0.62,PUT,$689.23,$687.30,$+1.93,+0.28%,WIN
2025-10-28,$687.05,$685.98,$685.62,0.01%,Small,Bear,Below VWAP,0.58,CALL,$685.98,$686.98,$+1.00,+0.15%,WIN
2025-10-27,$682.73,$682.75,$683.08,-0.62%,Large,Bull,Above VWAP,0.12,CALL,$682.75,$685.19,$+2.44,+0.36%,WIN
2025-10-24,$676.46,$677.34,$677.29,-1.54%,Large,Bull,Above VWAP,0.12,CALL,$677.34,$677.11,$-0.23,-0.03%,LOSS
2025-10-23,$668.12,$669.53,$669.96,-2.75%,Large,Bull,Above VWAP,0.12,CALL,$669.53,$671.61,$+2.08,+0.31%,WIN
2025-10-22,$672.00,$671.79,$671.27,-2.18%,Large,Bear,Above VWAP,0.00,PUT,$671.79,$667.81,$+3.98,+0.59%,WIN
2025-10-21,$671.44,$671.15,$670.57,-2.27%,Large,Bear,Below VWAP,0.50,SKIP,$671.15,$671.25,$+0.10,+0.01%,N/A
2025-10-20,$667.32,$668.69,$668.74,-2.87%,Large,Bull,Above VWAP,0.12,CALL,$668.69,$671.26,$+2.57,+0.38%,WIN
2025-10-17,$659.50,$658.65,$660.68,-4.00%,Large,Bear,Below VWAP,0.50,SKIP,$658.65,$664.32,$+5.67,+0.86%,N/A
2025-10-16,$666.82,$667.29,$666.64,-2.94%,Large,Bull,Above VWAP,0.12,CALL,$667.29,$660.67,$-6.62,-0.99%,LOSS
2025-10-15,$666.82,$667.19,$668.31,-2.94%,Large,Bull,Above VWAP,0.12,CALL,$667.19,$665.08,$-2.11,-0.32%,LOSS
2025-10-14,$657.17,$653.76,$656.82,-4.34%,Large,Bear,Below VWAP,0.50,SKIP,$653.76,$662.20,$+8.44,+1.29%,N/A
2025-10-13,$660.65,$661.09,$662.88,-3.84%,Large,Bull,Above VWAP,0.12,CALL,$661.09,$663.05,$+1.96,+0.30%,WIN
2025-10-10,$672.13,$673.56,$673.01,-2.17%,Large,Bull,Above VWAP,0.12,CALL,$673.56,$653.11,$-20.45,-3.04%,LOSS
2025-10-09,$673.53,$672.72,$671.91,-1.96%,Large,Bear,Below VWAP,0.50,SKIP,$672.72,$671.19,$-1.53,-0.23%,N/A
2025-10-08,$670.25,$669.73,$670.28,-2.44%,Large,Bear,Below VWAP,0.50,SKIP,$669.73,$673.04,$+3.31,+0.49%,N/A
2025-10-07,$672.54,$672.61,$672.23,-2.11%,Large,Bull,Above VWAP,0.12,CALL,$672.61,$669.13,$-3.48,-0.52%,LOSS
